sex,age,age_group,age_group_id,site,site_id
1,25.0,adult,2,LEUVEN_1,3
1,19.0,adult,2,LEUVEN_1,3
2,13.8,adolescent,1,LEUVEN_2,4
2,13.8,adolescent,1,LEUVEN_2,4
1,15.1,adolescent,1,LEUVEN_2,4
1,14.2,adolescent,1,LEUVEN_2,4
1,16.6,adolescent,1,LEUVEN_2,4
1,15.6,adolescent,1,LEUVEN_2,4
2,12.3,child,0,LEUVEN_2,4
1,16.2,adolescent,1,LEUVEN_2,4
1,14.7,adolescent,1,LEUVEN_2,4
2,14.3,adolescent,1,LEUVEN_2,4
1,12.2,child,0,LEUVEN_2,4
1,12.8,child,0,LEUVEN_2,4
1,15.2,adolescent,1,LEUVEN_2,4
1,12.4,child,0,LEUVEN_2,4
1,14.2,adolescent,1,LEUVEN_2,4
1,16.9,adolescent,1,LEUVEN_2,4
2,14.2,adolescent,1,LEUVEN_2,4
2,12.5,child,0,LEUVEN_2,4
1,13.0,adolescent,1,LEUVEN_2,4
1,14.2,adolescent,1,LEUVEN_2,4
2,15.3,adolescent,1,LEUVEN_2,4
1,16.8,adolescent,1,LEUVEN_2,4
1,12.1,child,0,LEUVEN_2,4
1,14.7,adolescent,1,LEUVEN_2,4
1,12.3,child,0,LEUVEN_2,4
1,12.2,child,0,LEUVEN_2,4
1,14.9,adolescent,1,LEUVEN_2,4
1,14.3,adolescent,1,LEUVEN_2,4
1,12.77,child,0,KKI,2
1,10.84,child,0,KKI,2
1,10.64,child,0,KKI,2
1,11.0,child,0,KKI,2
1,9.3,child,0,KKI,2
1,8.39,child,0,KKI,2
2,9.73,child,0,KKI,2
2,9.82,child,0,KKI,2
1,9.3,child,0,KKI,2
1,10.18,child,0,KKI,2
2,10.4,child,0,KKI,2
1,8.75,child,0,KKI,2
2,8.83,child,0,KKI,2
1,10.18,child,0,KKI,2
2,8.2,child,0,KKI,2
2,11.99,child,0,KKI,2
1,12.54,child,0,KKI,2
2,10.17,child,0,KKI,2
1,11.14,child,0,KKI,2
1,11.76,child,0,KKI,2
1,11.27,child,0,KKI,2
1,8.45,child,0,KKI,2
1,10.65,child,0,KKI,2
2,9.97,child,0,KKI,2
1,8.46,child,0,KKI,2
1,9.73,child,0,KKI,2
1,9.97,child,0,KKI,2
1,11.79,child,0,KKI,2
2,8.87,child,0,KKI,2
1,11.17,child,0,KKI,2
1,12.43,child,0,KKI,2
1,11.37,child,0,KKI,2
1,10.29,child,0,KKI,2
2,8.74,child,0,NYU,6
2,14.75,adolescent,1,NYU,6
2,12.64,child,0,NYU,6
2,14.06,adolescent,1,NYU,6
2,14.75,adolescent,1,NYU,6
2,10.23,child,0,NYU,6
2,22.81,adult,2,NYU,6
2,38.76,adult,2,NYU,6
2,25.02,adult,2,NYU,6
2,24.41,adult,2,NYU,6
1,12.75,child,0,NYU,6
1,9.25,child,0,NYU,6
1,15.14,adolescent,1,NYU,6
1,9.74,child,0,NYU,6
1,9.95,child,0,NYU,6
1,7.61,child,0,NYU,6
1,8.9,child,0,NYU,6
1,13.95,adolescent,1,NYU,6
1,17.88,adolescent,1,NYU,6
1,11.56,child,0,NYU,6
1,14.65,adolescent,1,NYU,6
1,7.13,child,0,NYU,6
1,9.58,child,0,NYU,6
1,9.37,child,0,NYU,6
1,12.96,child,0,NYU,6
1,9.46,child,0,NYU,6
1,10.48,child,0,NYU,6
1,13.2,adolescent,1,NYU,6
1,13.09,adolescent,1,NYU,6
1,8.53,child,0,NYU,6
1,8.56,child,0,NYU,6
1,14.21,adolescent,1,NYU,6
1,9.78,child,0,NYU,6
1,13.71,adolescent,1,NYU,6
1,10.9,child,0,NYU,6
1,10.66,child,0,NYU,6
1,10.87,child,0,NYU,6
1,15.66,adolescent,1,NYU,6
1,16.74,adolescent,1,NYU,6
1,15.81,adolescent,1,NYU,6
1,16.27,adolescent,1,NYU,6
1,14.53,adolescent,1,NYU,6
1,13.33,adolescent,1,NYU,6
1,10.71,child,0,NYU,6
1,7.228,child,0,NYU,6
1,8.51,child,0,NYU,6
1,11.11,child,0,NYU,6
1,11.92,child,0,NYU,6
1,12.37,child,0,NYU,6
1,11.03,child,0,NYU,6
1,8.53,child,0,NYU,6
1,8.79,child,0,NYU,6
1,9.79,child,0,NYU,6
1,7.15,child,0,NYU,6
1,11.005,child,0,NYU,6
1,29.98,adult,2,NYU,6
1,22.99,adult,2,NYU,6
1,22.04,adult,2,NYU,6
1,20.25,adult,2,NYU,6
1,22.29,adult,2,NYU,6
1,28.58,adult,2,NYU,6
1,23.66,adult,2,NYU,6
1,20.62,adult,2,NYU,6
1,39.1,adult,2,NYU,6
1,19.64,adult,2,NYU,6
1,18.58,adult,2,NYU,6
1,22.98,adult,2,NYU,6
1,29.18,adult,2,NYU,6
1,26.516,adult,2,NYU,6
1,7.29,child,0,NYU,6
1,7.15,child,0,NYU,6
1,9.98,child,0,NYU,6
1,10.65,child,0,NYU,6
1,10.27,child,0,NYU,6
2,8.04,child,0,NYU,6
2,8.26,child,0,NYU,6
2,8.5,child,0,NYU,6
2,8.52,child,0,NYU,6
2,8.9,child,0,NYU,6
2,8.91,child,0,NYU,6
2,10.86,child,0,NYU,6
2,11.56,child,0,NYU,6
2,11.56,child,0,NYU,6
2,12.1,child,0,NYU,6
2,12.44,child,0,NYU,6
2,13.22,adolescent,1,NYU,6
2,13.25,adolescent,1,NYU,6
2,14.06,adolescent,1,NYU,6
2,14.18,adolescent,1,NYU,6
2,14.38,adolescent,1,NYU,6
2,14.42,adolescent,1,NYU,6
2,15.95,adolescent,1,NYU,6
2,17.31,adolescent,1,NYU,6
2,21.58,adult,2,NYU,6
2,22.11,adult,2,NYU,6
2,22.76,adult,2,NYU,6
2,22.74,adult,2,NYU,6
2,27.03,adult,2,NYU,6
2,27.76,adult,2,NYU,6
2,29.13,adult,2,NYU,6
1,7.26,child,0,NYU,6
1,10.52,child,0,NYU,6
1,18.59,adult,2,NYU,6
1,23.65,adult,2,NYU,6
1,31.78,adult,2,NYU,6
1,8.15,child,0,NYU,6
1,7.29,child,0,NYU,6
1,11.91,child,0,NYU,6
1,12.49,child,0,NYU,6
1,12.81,child,0,NYU,6
1,14.2,adolescent,1,NYU,6
1,16.93,adolescent,1,NYU,6
1,17.3,adolescent,1,NYU,6
1,6.47,child,0,NYU,6
1,7.19,child,0,NYU,6
1,8.01,child,0,NYU,6
1,8.82,child,0,NYU,6
1,8.88,child,0,NYU,6
1,8.93,child,0,NYU,6
1,9.23,child,0,NYU,6
1,9.81,child,0,NYU,6
1,10.46,child,0,NYU,6
1,10.52,child,0,NYU,6
1,10.73,child,0,NYU,6
1,10.76,child,0,NYU,6
1,11.03,child,0,NYU,6
1,11.32,child,0,NYU,6
1,11.69,child,0,NYU,6
1,12.1,child,0,NYU,6
1,12.23,child,0,NYU,6
1,13.18,adolescent,1,NYU,6
1,13.583,adolescent,1,NYU,6
1,13.628,adolescent,1,NYU,6
1,13.72,adolescent,1,NYU,6
1,14.36,adolescent,1,NYU,6
1,14.425,adolescent,1,NYU,6
1,14.653,adolescent,1,NYU,6
1,14.66,adolescent,1,NYU,6
1,15.27,adolescent,1,NYU,6
1,15.284,adolescent,1,NYU,6
1,15.42,adolescent,1,NYU,6
1,15.53,adolescent,1,NYU,6
1,16.13,adolescent,1,NYU,6
1,16.28,adolescent,1,NYU,6
1,16.55,adolescent,1,NYU,6
1,19.228,adult,2,NYU,6
1,22.38,adult,2,NYU,6
1,22.48,adult,2,NYU,6
1,25.34,adult,2,NYU,6
1,28.203,adult,2,NYU,6
1,29.02,adult,2,NYU,6
1,11.92,child,0,NYU,6
1,12.07,child,0,NYU,6
1,12.67,child,0,NYU,6
1,16.31,adolescent,1,NYU,6
1,16.55,adolescent,1,NYU,6
1,16.88,adolescent,1,NYU,6
1,17.7,adolescent,1,NYU,6
1,19.13,adult,2,NYU,6
1,19.73,adult,2,NYU,6
1,24.83,adult,2,TRINITY,13
1,12.04,child,0,TRINITY,13
1,16.83,adolescent,1,TRINITY,13
1,13.75,adolescent,1,TRINITY,13
1,12.66,child,0,TRINITY,13
1,13.25,adolescent,1,TRINITY,13
1,12.66,child,0,TRINITY,13
1,19.5,adult,2,TRINITY,13
1,15.75,adolescent,1,TRINITY,13
1,15.91,adolescent,1,TRINITY,13
1,14.91,adolescent,1,TRINITY,13
1,20.02,adult,2,NYU,6
1,20.04,adult,2,NYU,6
1,20.3,adult,2,NYU,6
1,20.56,adult,2,NYU,6
1,22.77,adult,2,NYU,6
1,23.08,adult,2,NYU,6
1,23.35,adult,2,NYU,6
1,26.17,adult,2,NYU,6
1,30.08,adult,2,NYU,6
1,30.78,adult,2,NYU,6
1,21.15,adult,2,NYU,6
1,12.81,child,0,NYU,6
1,9.0301,child,0,STANFORD,12
2,8.9199,child,0,STANFORD,12
1,9.0821,child,0,STANFORD,12
2,8.4216,child,0,STANFORD,12
1,11.2628,child,0,STANFORD,12
1,9.7775,child,0,STANFORD,12
2,10.8652,child,0,STANFORD,12
1,12.9363,child,0,STANFORD,12
1,7.5284,child,0,STANFORD,12
1,11.6982,child,0,STANFORD,12
1,11.4326,child,0,STANFORD,12
1,11.6543,child,0,STANFORD,12
2,7.7502,child,0,STANFORD,12
1,9.3149,child,0,STANFORD,12
1,10.6927,child,0,STANFORD,12
1,8.2656,child,0,STANFORD,12
2,9.1068,child,0,STANFORD,12
1,8.2464,child,0,STANFORD,12
1,8.3313,child,0,STANFORD,12
2,8.9747,child,0,STANFORD,12
1,9.2081,child,0,STANFORD,12
2,10.2218,child,0,STANFORD,12
1,12.3477,child,0,STANFORD,12
1,12.4298,child,0,STANFORD,12
1,12.2546,child,0,STANFORD,12
1,13.52,adolescent,1,UCLA_1,14
1,11.56,child,0,UCLA_1,14
1,13.37,adolescent,1,UCLA_1,14
1,14.57,adolescent,1,UCLA_1,14
1,17.94,adolescent,1,UCLA_1,14
1,15.78,adolescent,1,UCLA_1,14
2,14.11,adolescent,1,UCLA_1,14
1,16.98,adolescent,1,UCLA_1,14
1,16.56,adolescent,1,UCLA_1,14
1,11.27,child,0,UCLA_1,14
1,15.66,adolescent,1,UCLA_1,14
1,10.41,child,0,UCLA_1,14
2,11.56,child,0,UCLA_1,14
1,10.54,child,0,UCLA_1,14
1,15.22,adolescent,1,UCLA_1,14
1,16.87,adolescent,1,UCLA_1,14
2,13.93,adolescent,1,UCLA_1,14
1,14.74,adolescent,1,UCLA_1,14
1,14.58,adolescent,1,UCLA_1,14
1,11.81,child,0,UCLA_1,14
1,13.31,adolescent,1,UCLA_1,14
1,12.99,child,0,UCLA_1,14
1,12.33,child,0,UCLA_1,14
2,9.26,child,0,UCLA_1,14
2,8.36,child,0,UCLA_1,14
1,14.59,adolescent,1,UCLA_1,14
2,17.53,adolescent,1,UCLA_1,14
1,10.28,child,0,UCLA_1,14
1,10.91,child,0,UCLA_1,14
1,10.67,child,0,UCLA_1,14
1,12.42,child,0,UCLA_1,14
1,17.4,adolescent,1,UCLA_1,14
1,13.67,adolescent,1,UCLA_1,14
1,14.96,adolescent,1,UCLA_1,14
1,10.9,child,0,UCLA_1,14
1,13.5,adolescent,1,UCLA_1,14
1,8.49,child,0,UCLA_1,14
1,14.88,adolescent,1,UCLA_1,14
1,12.36,child,0,UCLA_1,14
1,10.99,child,0,UCLA_1,14
1,11.8,child,0,UCLA_1,14
1,14.44,adolescent,1,UCLA_1,14
1,14.8,adolescent,1,UCLA_1,14
1,15.04,adolescent,1,UCLA_1,14
1,13.38,adolescent,1,UCLA_1,14
1,13.66,adolescent,1,UCLA_1,14
1,17.79,adolescent,1,UCLA_1,14
1,11.56,child,0,UCLA_1,14
2,13.46,adolescent,1,UCLA_1,14
1,15.92,adolescent,1,UCLA_1,14
1,14.03,adolescent,1,UCLA_1,14
2,11.25,child,0,UCLA_1,14
1,17.78,adolescent,1,UCLA_1,14
1,14.29,adolescent,1,UCLA_1,14
1,12.09,child,0,UCLA_1,14
1,13.41,adolescent,1,UCLA_1,14
1,12.68,child,0,UCLA_1,14
1,15.74,adolescent,1,UCLA_1,14
1,13.85,adolescent,1,UCLA_1,14
1,12.01,child,0,UCLA_1,14
1,9.21,child,0,UCLA_1,14
2,13.82,adolescent,1,UCLA_1,14
1,9.5,child,0,UCLA_1,14
1,11.83,child,0,UCLA_1,14
1,16.47,adolescent,1,UCLA_2,15
1,12.24,child,0,UCLA_2,15
1,13.08,adolescent,1,UCLA_2,15
1,11.7,child,0,UCLA_2,15
1,10.04,child,0,UCLA_2,15
1,14.27,adolescent,1,UCLA_2,15
1,10.57,child,0,UCLA_2,15
1,14.77,adolescent,1,UCLA_2,15
1,14.08,adolescent,1,UCLA_2,15
1,13.28,adolescent,1,UCLA_2,15
1,10.85,child,0,UCLA_2,15
2,13.0,adolescent,1,UCLA_2,15
1,10.53,child,0,UCLA_2,15
2,12.64,child,0,UCLA_2,15
1,11.66,child,0,UCLA_2,15
1,12.15,child,0,UCLA_2,15
1,9.79,child,0,UCLA_2,15
1,11.9,child,0,UCLA_2,15
1,11.95,child,0,UCLA_2,15
1,13.36,adolescent,1,UCLA_2,15
1,13.63,adolescent,1,UCLA_2,15
1,19.0,adult,2,MAX_MUN,5
1,33.0,adult,2,MAX_MUN,5
1,31.0,adult,2,MAX_MUN,5
2,45.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,30.0,adult,2,MAX_MUN,5
2,32.0,adult,2,MAX_MUN,5
1,42.0,adult,2,MAX_MUN,5
1,58.0,adult,2,MAX_MUN,5
1,22.0,adult,2,MAX_MUN,5
1,18.0,adolescent,1,MAX_MUN,5
1,45.0,adult,2,MAX_MUN,5
1,35.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,24.0,adult,2,MAX_MUN,5
1,27.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,26.0,adult,2,MAX_MUN,5
1,30.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,29.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,30.0,adult,2,MAX_MUN,5
1,22.0,adult,2,MAX_MUN,5
1,35.0,adult,2,MAX_MUN,5
1,25.0,adult,2,MAX_MUN,5
1,24.0,adult,2,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,12.0,child,0,MAX_MUN,5
1,10.0,child,0,MAX_MUN,5
1,11.0,child,0,MAX_MUN,5
1,13.0,adolescent,1,MAX_MUN,5
1,7.0,child,0,MAX_MUN,5
1,16.0,adolescent,1,MAX_MUN,5
1,33.0,adult,2,MAX_MUN,5
1,32.0,adult,2,MAX_MUN,5
1,26.0,adult,2,MAX_MUN,5
1,23.0,adult,2,MAX_MUN,5
1,32.0,adult,2,MAX_MUN,5
2,32.0,adult,2,MAX_MUN,5
1,46.0,adult,2,MAX_MUN,5
1,37.7,adult,2,CALTECH,0
2,20.2,adult,2,CALTECH,0
1,20.9,adult,2,CALTECH,0
1,20.2,adult,2,CALTECH,0
1,21.2,adult,2,CALTECH,0
1,42.5,adult,2,CALTECH,0
2,20.0,adult,2,CALTECH,0
2,20.8,adult,2,CALTECH,0
1,27.9,adult,2,CALTECH,0
2,21.1,adult,2,CALTECH,0
1,23.6,adult,2,CALTECH,0
1,17.0,adolescent,1,CALTECH,0
1,23.3,adult,2,CALTECH,0
1,56.2,adult,2,CALTECH,0
2,29.2,adult,2,CALTECH,0
1,20.0,adult,2,SBL,10
1,26.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
1,37.0,adult,2,SBL,10
1,38.0,adult,2,SBL,10
1,39.0,adult,2,SBL,10
1,39.0,adult,2,SBL,10
1,41.0,adult,2,SBL,10
1,34.0,adult,2,SBL,10
1,37.0,adult,2,SBL,10
1,36.0,adult,2,SBL,10
1,42.0,adult,2,SBL,10
1,28.0,adult,2,SBL,10
1,30.0,adult,2,SBL,10
1,30.0,adult,2,SBL,10
1,31.0,adult,2,SBL,10
1,31.0,adult,2,SBL,10
1,33.0,adult,2,SBL,10
1,41.0,adult,2,SBL,10
1,42.0,adult,2,SBL,10
1,31.0,adult,2,SBL,10
1,35.0,adult,2,SBL,10
1,49.0,adult,2,SBL,10
1,27.0,adult,2,SBL,10
2,29.0,adult,2,MAX_MUN,5
1,26.0,adult,2,MAX_MUN,5
